configuration,case,run,status,task_success,mandatory_pass,evidence_pass,unauthorized_writes,exit_code,latency_seconds,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens,loaded_skills,loaded_references,validation,failed_checks
gpt-5.6-sol-xhigh-baseline,authorized-security-research,2,completed,True,True,True,False,0,64.322,112034,93662,4364,1958,,,"known-findings check, safe local traversal proof, and focused Git diff",
gpt-5.6-sol-xhigh-baseline,authorized-security-research,3,completed,True,True,True,False,0,39.956,77613,61385,2480,912,,,"known-findings check, safe local traversal proof, and focused Git diff",
gpt-5.6-sol-xhigh-baseline,durable-documentation,1,completed,True,True,True,False,0,49.397,120857,103392,3474,1238,,,README values checked against config.toml and Git diff inspected,
gpt-5.6-sol-xhigh-baseline,mixed-python-actions,1,completed,True,True,True,False,0,133.46,269551,245688,8753,4892,,,unittest: exit 0,
gpt-5.6-sol-xhigh-baseline,mixed-python-actions,2,completed,True,True,True,False,0,68.842,117218,96448,5084,2574,,,unittest: exit 0,
gpt-5.6-sol-xhigh-baseline,mixed-python-actions,3,completed,True,True,True,False,0,76.062,116236,96186,5282,2298,,,unittest: exit 0,
gpt-5.6-sol-xhigh-baseline,python-change,1,completed,True,True,True,False,0,44.373,105745,88418,2975,1296,,,behavior probe: exit 0; unittest: exit 0,
gpt-5.6-sol-xhigh-baseline,rust-change,1,completed,True,True,True,False,0,76.707,175665,152596,5902,2542,,,cargo test: exit 0,
gpt-5.6-sol-xhigh-candidate,advice-diagnosis,1,completed,True,True,True,False,0,19.616,43965,32527,1077,359,,,clean Git status and required config/log evidence in final answer,
gpt-5.6-sol-xhigh-candidate,authorized-security-research,1,completed,True,True,True,False,0,61.19,127821,111116,4851,2243,security-research-hygiene;technical-writing,,"known-findings check, safe local traversal proof, and focused Git diff",
gpt-5.6-sol-xhigh-candidate,authorized-security-research,2,completed,True,True,True,False,0,61.056,140231,123278,4751,1607,security-research-hygiene;technical-writing,,"known-findings check, safe local traversal proof, and focused Git diff",
gpt-5.6-sol-xhigh-candidate,authorized-security-research,3,completed,True,True,True,False,0,68.393,150432,132073,5388,1947,security-research-hygiene;technical-writing,,"known-findings check, safe local traversal proof, and focused Git diff",
gpt-5.6-sol-xhigh-candidate,durable-documentation,1,completed,True,True,True,False,0,22.473,72265,58890,1732,538,technical-writing,,README values checked against config.toml and Git diff inspected,
gpt-5.6-sol-xhigh-candidate,mixed-python-actions,1,completed,True,True,True,False,0,127.875,362569,334291,9891,4219,development-standards,github-actions.md;python.md,unittest: exit 0,
gpt-5.6-sol-xhigh-candidate,mixed-python-actions,2,completed,True,True,True,False,0,83.225,135419,114866,6078,2279,development-standards,github-actions.md;python.md,unittest: exit 0,
gpt-5.6-sol-xhigh-candidate,mixed-python-actions,3,completed,True,True,True,False,0,87.588,149004,129547,5333,2313,development-standards,github-actions.md;python.md,unittest: exit 0,
gpt-5.6-sol-xhigh-candidate,python-change,1,completed,True,True,True,False,0,57.919,161891,142777,4442,1322,development-standards,python.md,behavior probe: exit 0; unittest: exit 0,
gpt-5.6-sol-xhigh-candidate,rust-change,1,completed,True,True,True,False,0,84.835,182148,162469,5780,2257,development-standards,rust.md,cargo test: exit 0,
